week,対内.合計.ネット
2009年8月第2週,961
2009年8月第3週,1829
2009年8月第4週,-5378
2009年8月第5週,12621
2009年8月第6週,2892
2009年9月第2週,-14687
2009年9月第3週,-25729
2009年9月第4週,-4533
2009年9月第5週,5348
2009年10月第2週,-218
2009年10月第3週,5014
2009年10月第4週,4093
2009年10月第5週,-2448
2009年11月第1週,-4289
2009年11月第2週,-3986
2009年11月第3週,6006
2009年11月第4週,-3114
2009年11月第5週,17468
2009年12月第2週,-14470
2009年12月第3週,16451
2009年12月第4週,-17154
2009年12月第5週,-20801
2010年1月第2週,16536
2010年1月第3週,7560
2010年1月第4週,3560
2010年1月第5週,-4907
2010年1月第6週,-1907
2010年2月第2週,-1562
2010年2月第3週,8908
2010年2月第4週,6850
2010年2月第5週,5139
2010年3月第2週,-10030
2010年3月第3週,5370
2010年3月第4週,-29350
2010年3月第5週,-7031
2010年4月第2週,12387
2010年4月第3週,2654
2010年4月第4週,13042
2010年4月第5週,-8023
2010年5月第2週,14095
2010年5月第3週,13862
2010年5月第4週,2326
2010年5月第5週,8408
2010年5月第6週,-805
2010年6月第2週,-15768
2010年6月第3週,5259
2010年6月第4週,-13489
2010年6月第5週,2057
2010年7月第2週,8643
2010年7月第3週,11247
2010年7月第4週,-1976
2010年7月第5週,1991
2010年8月第1週,9718
2010年8月第2週,928
2010年8月第3週,-5197
2010年8月第4週,3412
2010年8月第5週,6347
2010年9月第2週,5945
2010年9月第3週,6309
2010年9月第4週,-1162
2010年9月第5週,9876
2010年10月第2週,-5367
2010年10月第3週,30
2010年10月第4週,10963
2010年10月第5週,8195
2010年10月第6週,2539
2010年11月第2週,9
2010年11月第3週,1270
2010年11月第4週,-303
2010年11月第5週,11036
2010年12月第2週,-3031
2010年12月第3週,6271
2010年12月第4週,-10418
2010年12月第5週,-20884
2011年1月第2週,20484
2011年1月第3週,12422
2011年1月第4週,24299
2011年1月第5週,20604
2011年1月第6週,-2972
2011年2月第2週,-3198
2011年2月第3週,18904
2011年2月第4週,7136
2011年2月第5週,1054
2011年3月第2週,-3025
2011年3月第3週,1878
2011年3月第4週,-12217
2011年3月第5週,7141
2011年4月第2週,14194
2011年4月第3週,14624
2011年4月第4週,4336
2011年4月第5週,-12935
2011年5月第1週,4665
2011年5月第2週,22865
2011年5月第3週,16059
2011年5月第4週,1630
2011年5月第5週,-9380
2011年6月第2週,-6620
2011年6月第3週,13436
2011年6月第4週,-10573
2011年6月第5週,2348
2011年7月第2週,3171
2011年7月第3週,16077
2011年7月第4週,-8377
2011年7月第5週,-2619
2011年7月第6週,5397
2011年8月第2週,27917
2011年8月第3週,18996
2011年8月第4週,-9811
2011年8月第5週,4910
2011年9月第2週,7279
2011年9月第3週,5650
2011年9月第4週,-12221
2011年9月第5週,5208
2011年10月第2週,1673
2011年10月第3週,-13494
2011年10月第4週,-8326
2011年10月第5週,6204
2011年10月第6週,9952
2011年11月第2週,6539
2011年11月第3週,-38
2011年11月第4週,-15575
2011年11月第5週,1493
2011年12月第2週,6985
2011年12月第3週,27286
2011年12月第4週,-6864
2011年12月第5週,-9271
2012年1月第1週,13327
2012年1月第2週,3433
2012年1月第3週,5253
2012年1月第4週,-11169
2012年1月第5週,2445
2012年2月第2週,3585
2012年2月第3週,2229
2012年2月第4週,81
2012年2月第5週,4546
2012年3月第2週,3294
2012年3月第3週,3413
2012年3月第4週,-4234
2012年3月第5週,-32009
2012年4月第1週,31683
2012年4月第2週,-13073
2012年4月第3週,6778
2012年4月第4週,-9371
2012年4月第5週,7255
2012年5月第2週,7165
2012年5月第3週,-10912
2012年5月第4週,-4871
2012年5月第5週,14227
2012年6月第2週,6302
2012年6月第3週,-6135
2012年6月第4週,1610
2012年6月第5週,11097
2012年7月第1週,15125
2012年7月第2週,-10022
2012年7月第3週,2745
2012年7月第4週,6166
2012年7月第5週,3217
2012年8月第2週,4013
2012年8月第3週,12117
2012年8月第4週,-19426
2012年8月第5週,11499
2012年9月第2週,11802
2012年9月第3週,-736
2012年9月第4週,-2670
2012年9月第5週,926
2012年9月第6週,7309
2012年10月第2週,-21109
2012年10月第3週,3022
2012年10月第4週,-6056
2012年10月第5週,658
2012年11月第2週,9034
2012年11月第3週,11092
2012年11月第4週,-13539
2012年11月第5週,25941
2012年12月第2週,12970
2012年12月第3週,-3169
2012年12月第4週,-4850
2012年12月第5週,-17642
2012年12月第6週,6352
2013年1月第2週,31804
2013年1月第3週,-4144
2013年1月第4週,-5016
2013年1月第5週,8440
2013年2月第2週,2500
2013年2月第3週,-10018
2013年2月第4週,6405
2013年2月第5週,5769
2013年3月第2週,21689
2013年3月第3週,-4656
2013年3月第4週,-24577
2013年3月第5週,-18377
2013年3月第6週,37617
2013年4月第2週,11275
2013年4月第3週,-4391
2013年4月第4週,20087
2013年4月第5週,1172
2013年5月第2週,5810
2013年5月第3週,11873
2013年5月第4週,-20598
2013年5月第5週,7881
2013年6月第2週,4667
2013年6月第3週,-10083
2013年6月第4週,-2129
2013年6月第5週,-3591
2013年6月第6週,3572
2013年7月第2週,-11182
2013年7月第3週,20543
2013年7月第4週,-11890
2013年7月第5週,-1556
2013年8月第2週,-198
2013年8月第3週,12872
2013年8月第4週,-18659
2013年8月第5週,4727
2013年9月第1週,13795
2013年9月第2週,-16219
2013年9月第3週,6978
2013年9月第4週,-2395
2013年9月第5週,3846
2013年10月第2週,-6833
2013年10月第3週,20400
2013年10月第4週,-2766
2013年10月第5週,11251
2013年11月第2週,13540
2013年11月第3週,7909
2013年11月第4週,14700
2013年11月第5週,-510
2013年12月第1週,5872
2013年12月第2週,16318
2013年12月第3週,6200
2013年12月第4週,-18935
2013年12月第5週,-1384
2014年1月第2週,18165
2014年1月第3週,35
2014年1月第4週,21348
2014年1月第5週,-4912
2014年2月第2週,-1581
2014年2月第3週,-17795
2014年2月第4週,-1013
2014年2月第5週,4602
2014年3月第2週,8770
2014年3月第3週,-18535
2014年3月第4週,1165
2014年3月第5週,-38440
2014年3月第6週,31281
2014年4月第2週,5636
2014年4月第3週,3419
2014年4月第4週,5638
2014年4月第5週,1599
2014年5月第2週,10235
2014年5月第3週,-1781
2014年5月第4週,-12864
2014年5月第5週,14877
2014年6月第1週,3705
2014年6月第2週,3975
2014年6月第3週,-6669
2014年6月第4週,-2447
2014年6月第5週,23018
2014年7月第2週,-13779
2014年7月第3週,8419
2014年7月第4週,38
2014年7月第5週,7185
2014年8月第2週,-9805
2014年8月第3週,7026
2014年8月第4週,1881
2014年8月第5週,7603
2014年8月第6週,431
2014年9月第2週,5345
2014年9月第3週,2687
2014年9月第4週,-5766
2014年9月第5週,-8718
2014年10月第2週,19376
2014年10月第3週,-6264
2014年10月第4週,798
2014年10月第5週,16397
2014年11月第2週,29610
2014年11月第3週,22678
2014年11月第4週,6548
2014年11月第5週,-9288
2014年11月第6週,7108
2014年12月第2週,17166
2014年12月第3週,4437
2014年12月第4週,-41587
2014年12月第5週,159
2015年1月第2週,4364
2015年1月第3週,-5642
2015年1月第4週,11572
2015年1月第5週,6339
2015年2月第1週,2528
2015年2月第2週,14438
2015年2月第3週,-9719
2015年2月第4週,16075
2015年3月第1週,9668
2015年3月第2週,17671
2015年3月第3週,-11363
2015年3月第4週,13235
2015年3月第5週,12369
2015年4月第2週,4452
2015年4月第3週,17304
2015年4月第4週,15369
2015年4月第5週,-16383
2015年5月第2週,12523
2015年5月第3週,-8626
2015年5月第4週,-1345
2015年5月第5週,29250
2015年5月第6週,-13862
2015年6月第2週,881
2015年6月第3週,5731
2015年6月第4週,-13393
2015年6月第5週,-5404
2015年7月第2週,-11320
2015年7月第3週,15412
2015年7月第4週,2379
2015年7月第5週,1675
2015年8月第2週,28835
2015年8月第3週,-7640
2015年8月第4週,-2812
2015年8月第5週,12404
2015年8月第6週,-27188
2015年9月第2週,-3692
2015年9月第3週,19346
2015年9月第4週,-14450
2015年9月第5週,-13249
2015年10月第2週,23937
2015年10月第3週,19481
2015年10月第4週,-2648
2015年10月第5週,14698
2015年11月第1週,25123
