Date,Area,Exports Value Index,Exports Quantum Index,Exports Unit Value,Imports Value Index,Imports Quantum Index,Imports Unit Value,Exports Value Index Percent Change,Exports Quantum Index Percent Change,Exports Unit Value Percent Change,Imports Value Index Percent Change,Imports Quantum Index Percent Change,Imports Unit Value Percent Change
2011-09-01,WORLD,106.4,105.6,100.7,112.3,103,109,2.3,-1.1,3.5,12.2,0.6,11.6
2011-10-01,WORLD,98,97.8,100.3,114.3,104.9,109,-3.8,-6.2,2.6,17.9,5.8,11.5
2011-11-01,WORLD,92.5,92.6,99.9,116.3,107.5,108.2,-4.5,-6.7,2.3,11.5,-0.3,11.8
2011-12-01,WORLD,100.1,101.2,99,115.2,106,108.6,-8,-8,0,8.2,0.1,8
2012-01-01,WORLD,80.4,79,101.7,118.6,108.4,109.4,-9.2,-9.9,0.8,9.8,3.8,5.8
2012-02-01,WORLD,96.9,95.2,101.7,107,95.7,111.8,-2.6,-4.5,2,9.4,4.4,4.8
2012-03-01,WORLD,110.4,105.8,104.4,124.1,107.6,115.3,5.9,2.9,2.9,10.5,3.2,7.1
2012-04-01,WORLD,99.1,93.9,105.5,120.1,102.2,117.5,7.9,4.5,3.3,8,2.1,5.8
2012-05-01,WORLD,93.2,90.1,103.5,121.3,106.7,113.7,10,8.7,1.3,9.3,8,1.2
2012-06-01,WORLD,100.4,97.5,103,110.3,100.6,109.6,-2.3,-2.6,0.3,-2.2,-0.2,-2
2012-07-01,WORLD,94.6,91.8,103,115.3,106.6,108.2,-8.1,-8.2,0.1,2.3,7,-4.4
2012-08-01,WORLD,89.8,87.5,102.6,114.8,107.6,106.7,-5.8,-6.8,1,-5.2,-1.8,-3.5
2012-09-01,WORLD,95.4,93.4,102.1,117,107.8,108.5,-10.3,-11.6,1.4,4.2,4.7,-0.4
2012-10-01,WORLD,91.7,89.5,102.4,112.6,104.4,107.9,-6.5,-8.5,2.1,-1.5,-0.5,-1
2012-11-01,WORLD,88.7,85.4,103.9,117.3,106.9,109.7,-4.1,-7.7,3.9,0.9,-0.5,1.4
2012-12-01,WORLD,94.3,89.3,105.6,117.4,105.4,111.4,-5.8,-11.8,6.8,1.9,-0.6,2.6
2013-01-01,WORLD,85.4,77.9,109.7,127,107.7,117.9,6.3,-1.5,7.9,7.1,-0.6,7.8
2013-02-01,WORLD,94.1,83.1,113.2,119.6,96,124.6,-2.9,-12.8,11.3,11.8,0.3,11.5
2013-03-01,WORLD,111.6,98.3,113.6,130.9,102.8,127.3,1.1,-7.1,8.8,5.4,-4.5,10.4
2013-04-01,WORLD,102.8,91.1,112.9,131.4,104.8,125.4,3.8,-3,7,9.4,2.5,6.7
2013-05-01,WORLD,102.6,89,115.3,133.4,104.4,127.8,10.1,-1.2,11.4,10,-2.2,12.4
2013-06-01,WORLD,107.9,92.6,116.5,123.2,95.6,128.9,7.4,-5.1,13.1,11.7,-5,17.5
2013-07-01,WORLD,106.1,93.5,113.4,138.1,109.2,126.4,12.2,1.8,10.2,19.7,2.4,16.9
2013-08-01,WORLD,102.9,89.2,115.4,133.4,105.6,126.3,14.6,1.9,12.5,16.2,-1.9,18.4
2013-09-01,WORLD,106.3,91.7,116,136.5,105.6,129.4,11.4,-1.8,13.5,16.7,-2.1,19.2
2013-10-01,WORLD,108.7,93.4,116.3,142.3,111.1,128.1,18.6,4.4,13.6,26.3,6.4,18.7
2013-11-01,WORLD,105,90.7,115.8,142.2,110.5,128.6,18.4,6.2,11.5,21.2,3.4,17.2
2013-12-01,WORLD,108.8,91.6,118.8,146.5,110.4,132.7,15.3,2.5,12.4,24.8,4.7,19.1
2014-01-01,WORLD,93.5,77.7,120.4,158.9,116.3,136.7,9.5,-0.2,9.7,25.1,8,15.9
2014-02-01,WORLD,103.3,87.5,117.9,130.4,95.5,136.6,9.8,5.4,4.2,9,-0.5,9.6
2014-03-01,WORLD,113.7,95.9,118.5,154.7,114.7,134.9,1.8,-2.5,4.4,18.2,11.6,5.9
2014-04-01,WORLD,108,92.9,116.3,135.9,103.5,131.4,5.1,2,3,3.4,-1.3,4.8
2014-05-01,WORLD,99.8,86,116.1,128.7,100.2,128.5,-2.7,-3.4,0.7,-3.5,-4,0.5
2014-06-01,WORLD,105.8,91.1,116.1,133.7,102.5,130.4,-1.9,-1.6,-0.3,8.5,7.2,1.2
2014-07-01,WORLD,110.2,94.4,116.8,141.3,108.8,129.9,3.9,1,2.9,2.4,-0.3,2.7
2014-08-01,WORLD,101.6,86.6,117.3,131.5,100.8,130.5,-1.3,-2.9,1.6,-1.4,-4.5,3.3
2014-09-01,WORLD,113.6,94.3,120.6,145.1,108.7,133.5,6.9,2.8,4,6.3,3,3.2
2014-10-01,WORLD,119.1,97.9,121.7,146.7,109.2,134.3,9.6,4.8,4.6,3.1,-1.7,4.9
2014-11-01,WORLD,110.2,89.2,123.6,139.9,102.8,136.1,4.9,-1.7,6.7,-1.6,-7,5.8
2014-12-01,WORLD,122.7,95.1,129,149.3,108.4,137.7,12.8,3.9,8.6,1.9,-1.8,3.8
2015-01-01,WORLD,109.3,86.2,126.8,144.2,109,132.3,16.9,11,5.3,-9.3,-6.3,-3.1
2015-02-01,WORLD,105.8,85.7,123.5,125.7,99.7,126.1,2.4,-2.1,4.7,-3.6,4.4,-7.7
2015-03-01,WORLD,123.3,98.9,124.7,132.4,102.9,128.7,8.5,3.2,5.1,-14.4,-10.4,-4.5
2015-04-01,WORLD,116.6,94.6,123.3,130.5,103.5,126,7.9,1.8,6,-4.1,0.1,-4.2
2015-05-01,WORLD,102.2,82.6,123.7,117.6,94.9,123.9,2.4,-4,6.6,-8.7,-5.3,-3.6
2015-06-01,WORLD,115.8,91.1,127.2,129.7,101.1,128.3,9.5,0,9.5,-3.1,-1.4,-1.7
2015-07-01,WORLD,118.6,93.8,126.5,136.7,105.6,129.5,7.6,-0.7,8.3,-3.3,-2.9,-0.4
2015-08-01,WORLD,104.7,82.9,126.2,127.3,100.1,127.3,3.1,-4.1,7.5,-3.2,-0.7,-2.5
2015-09-01,WORLD,114.2,90.6,126.1,129,106.6,121.1,0.5,-3.9,4.6,-11,-1.9,-9.3
2015-10-01,WORLD,116.5,93.4,124.7,127.1,104.9,121.2,-2.2,-4.6,2.5,-13.4,-3.8,-9.9
2015-11-01,WORLD,106.4,86.4,123.2,125.7,104.6,120.2,-3.4,-3.1,-0.3,-10.2,1.7,-11.6
2015-12-01,WORLD,112.8,90.9,124.1,122.4,103,118.9,-8,-4.4,-3.8,-18,-5,-13.7
2016-01-01,WORLD,95.3,78.4,121.6,118.5,103.5,114.5,-12.9,-9.1,-4.1,-17.8,-5,-13.5
2016-02-01,WORLD,101.6,85.8,118.3,107.9,97.3,110.9,-4,0.2,-4.2,-14.2,-2.5,-12
2016-03-01,WORLD,115,98,117.4,112.7,108.2,104.2,-6.8,-1,-5.8,-14.9,5.2,-19
2016-04-01,WORLD,104.9,90.2,116.2,100.1,95.7,104.5,-10.1,-4.6,-5.7,-23.3,-7.5,-17
2016-05-01,WORLD,90.7,80.6,112.4,101.4,98.3,103.2,-11.3,-2.4,-9.1,-13.7,3.6,-16.7
2016-06-01,WORLD,107.3,93.9,114.3,105.3,101.5,103.8,-7.4,3.1,-10.1,-18.8,0.4,-19.1
2009-01-01,USA,66.1,66.5,99.5,89.2,91.7,97.3,-52.9,-48.6,-8.3,-35,-22.8,-15.8
2009-02-01,USA,64.4,65.1,98.9,83.5,86.3,96.8,-58.4,-55.5,-6.5,-36,-24.3,-15.5
2009-03-01,USA,77,74.9,102.9,104.4,96.2,108.5,-51.4,-49.5,-3.7,-27.1,-22.6,-5.8
2009-04-01,USA,75.6,70.2,107.7,92.1,83,110.9,-46.3,-49.4,6.2,-29.2,-27.2,-2.8
2009-05-01,USA,74.5,69.4,107.3,85.3,80.5,106,-45.4,-46.9,2.6,-40.1,-34.9,-8
2009-06-01,USA,87.4,81,107.9,99.4,86.8,114.5,-38.5,-38.3,-0.3,-37.7,-35.8,-2.9
2009-07-01,USA,89.3,87.5,102.1,89.5,82.7,108.2,-39.5,-34.7,-7.3,-34.8,-30.3,-6.4
2009-08-01,USA,82.5,80.4,102.5,89.5,84,106.6,-34.4,-29.3,-7.2,-38.3,-29.3,-12.8
2009-09-01,USA,96.6,94.7,101.9,93.9,92.5,101.5,-33.9,-27.3,-9.1,-34.2,-22.1,-15.5
2009-10-01,USA,101.1,102.4,98.7,102.4,106.7,96,-27.6,-21.1,-8.3,-27.5,-6,-22.9
2009-11-01,USA,99.5,97.8,101.7,92.6,94.2,98.2,-7.9,-6.2,-1.8,-19.7,-9.9,-10.8
2009-12-01,USA,96.3,100.5,95.9,97.2,97.9,99.3,-7.6,-2.4,-5.3,-9.4,-2.1,-7.4
2010-01-01,USA,82.1,80.6,101.9,96.2,95.4,100.9,24.2,21.1,2.5,7.9,4,3.7
2010-02-01,USA,96.6,95.8,100.8,89.7,89.9,99.8,50.1,47.2,2,7.4,4.2,3.1
2010-03-01,USA,99.3,98.9,100.3,107.2,104.9,102.2,28.9,32.1,-2.5,2.7,9,-5.8
2010-04-01,USA,101.2,97.6,103.7,101.1,99.9,101.2,33.9,39,-3.7,9.8,20.4,-8.8
2010-05-01,USA,87.5,82.7,105.8,105.5,102.1,103.3,17.4,19.1,-1.4,23.7,26.9,-2.5
2010-06-01,USA,105.9,103.1,102.7,109.2,107.2,101.8,21.2,27.3,-4.8,9.8,23.5,-11.1
2010-07-01,USA,112.5,110.9,101.5,101.6,104.4,97.3,25.9,26.7,-0.6,13.5,26.3,-10.1
2010-08-01,USA,89.8,90.9,98.8,99.7,99.4,100.3,8.9,12.9,-3.6,11.3,18.4,-5.9
2010-09-01,USA,106.6,109.1,97.7,96.8,99.4,97.4,10.4,15.1,-4.2,3.1,7.4,-4
2010-10-01,USA,105.7,109.6,96.5,93.2,96.5,96.5,4.6,7,-2.3,-9,-9.5,0.6
2010-11-01,USA,100.6,105.9,95,103.9,107.2,96.9,1.2,8.3,-6.6,12.2,13.7,-1.3
2010-12-01,USA,112.2,116.3,96.5,96,93.7,102.4,16.5,15.8,0.6,-1.3,-4.3,3.1
2011-01-01,USA,87.1,88.1,98.8,94.6,92.2,102.7,6,9.3,-3,-1.7,-3.3,1.7
2011-02-01,USA,98.5,99.9,98.6,92.7,92.9,99.7,2,4.3,-2.2,3.3,3.4,-0.1
2011-03-01,USA,95.7,97.7,97.9,100.5,96.3,104.3,-3.6,-1.2,-2.4,-6.2,-8.2,2.1
2011-04-01,USA,77.6,77.9,99.7,103.7,99.8,103.9,-23.3,-20.2,-3.9,2.6,-0.1,2.7
2011-05-01,USA,74.6,76,98.1,110,104.5,105.3,-14.7,-8,-7.2,4.3,2.3,1.9
2011-06-01,USA,99.4,101.6,97.9,104.1,100.9,103.2,-6.1,-1.5,-4.7,-4.6,-5.9,1.4
2011-07-01,USA,103.2,106.2,97.2,96.7,95.4,101.4,-8.2,-4.2,-4.2,-4.9,-8.7,4.2
2011-08-01,USA,93,98.3,94.6,102.4,103.3,99.1,3.6,8.2,-4.3,2.7,3.9,-1.2
2011-09-01,USA,107,113.3,94.4,99,98.6,100.4,0.4,3.9,-3.3,2.2,-0.9,3.1
2011-10-01,USA,103.3,108,95.7,102.4,104.8,97.7,-2.3,-1.5,-0.8,9.9,8.6,1.2
2011-11-01,USA,102.6,108.1,94.9,103.1,105.4,97.8,2,2.1,-0.2,-0.8,-1.7,0.9
2011-12-01,USA,116.6,122.2,95.4,94.9,94.8,100,3.9,5.1,-1.1,-1.1,1.2,-2.4
2012-01-01,USA,87.6,91.1,96.2,100.2,98.5,101.7,0.7,3.4,-2.7,5.9,6.8,-0.9
2012-02-01,USA,110.3,114.5,96.3,96.7,92.2,104.9,11.9,14.6,-2.4,4.4,-0.7,5.2
2012-03-01,USA,118.6,118.7,99.9,109.1,104.2,104.7,23.9,21.5,2,8.5,8.1,0.3
2012-04-01,USA,110.9,108.7,102,108.4,104.1,104.2,42.9,39.6,2.4,4.6,4.3,0.2
2012-05-01,USA,103.6,103,100.6,113.1,110.5,102.3,38.7,35.4,2.5,2.8,5.8,-2.9
2012-06-01,USA,114.4,115,99.5,100.6,102.1,98.5,15.1,13.2,1.7,-3.4,1.2,-4.5
2012-07-01,USA,108,107.8,100.2,104,103.1,100.9,4.7,1.5,3.2,7.6,8.1,-0.5
2012-08-01,USA,102.6,104.1,98.5,102.3,104.5,97.8,10.3,5.9,4.2,-0.1,1.1,-1.3
2012-09-01,USA,108,109.5,98.6,102.8,104.7,98.2,0.9,-3.4,4.4,3.9,6.2,-2.2
2012-10-01,USA,106.5,109.3,97.5,102.5,104.5,98.1,3.1,1.2,1.9,0.1,-0.2,0.4
2012-11-01,USA,108,107.5,100.5,97.4,95.5,102,5.3,-0.6,5.9,-5.5,-9.4,4.3
2012-12-01,USA,115.7,112.8,102.6,97.5,91.9,106.1,-0.8,-7.7,7.5,2.8,-3.1,6.1
2013-01-01,USA,97.2,90,108,105.8,96.8,109.3,10.9,-1.2,12.3,5.7,-1.6,7.4
2013-02-01,USA,116.6,101.6,114.7,97.4,84.7,115,5.7,-11.2,19.1,0.7,-8.1,9.6
2013-03-01,USA,126.9,107.4,118.2,108.7,93.1,116.7,7,-9.6,18.3,-0.3,-10.6,11.5
2013-04-01,USA,127.4,108.9,117,109.3,95.2,114.8,14.9,0.2,14.7,0.8,-8.6,10.3
2013-05-01,USA,120.3,99.5,120.9,124.7,103,121,16.2,-3.3,20.2,10.3,-6.8,18.3
2013-06-01,USA,130.9,107.5,121.7,119.6,99.2,120.6,14.4,-6.4,22.3,18.9,-2.9,22.4
2013-07-01,USA,127.9,108.3,118.1,123.2,105.2,117.1,18.4,0.4,17.8,18.4,2.1,16
2013-08-01,USA,123.7,105.1,117.7,116.8,102.2,114.3,20.6,0.9,19.5,14.2,-2.2,16.8
2013-09-01,USA,128.3,108.2,118.6,117.3,98.7,118.8,18.8,-1.2,20.2,14.1,-5.7,21
2013-10-01,USA,134.7,115,117.1,119.6,102.4,116.8,26.4,5.3,20.1,16.7,-2,19.1
2013-11-01,USA,130.9,110.6,118.3,131.5,115.8,113.6,21.2,2.9,17.8,35,21.2,11.4
2013-12-01,USA,130.7,107.6,121.5,109.4,92.8,117.8,13,-4.6,18.4,12.2,1.1,11
2014-01-01,USA,118.4,95.7,123.8,133.3,111.6,119.4,21.8,6.3,14.6,26,15.3,9.3
2014-02-01,USA,123,100.6,122.3,117.8,98.3,119.8,5.6,-1,6.7,20.9,16,4.2
2014-03-01,USA,131.4,108.9,120.6,126.9,105.5,120.3,3.6,1.5,2.1,16.8,13.3,3.1
2014-04-01,USA,129.9,107.3,121.1,116.9,101.1,115.6,1.9,-1.5,3.5,7,6.2,0.7
2014-05-01,USA,116.9,97.6,119.8,124.1,104,119.4,-2.8,-1.9,-0.9,-0.4,1,-1.4
2014-06-01,USA,128.1,105.6,121.3,127.9,105.6,121.1,-2.2,-1.8,-0.4,6.9,6.4,0.4
2014-07-01,USA,130.5,107.1,121.8,131,104.5,125.3,2.1,-1,3.1,6.3,-0.7,7
2014-08-01,USA,118.3,98.5,120.1,129.5,99.8,129.7,-4.4,-6.2,2,10.8,-2.3,13.5
2014-09-01,USA,134,107.1,125.2,125.4,98.8,127,4.4,-1.1,5.6,6.9,0.1,6.9
2014-10-01,USA,146.7,114.6,128,137,110.5,124,8.9,-0.4,9.4,14.6,7.9,6.2
2014-11-01,USA,139.8,106.5,131.2,126.9,104.5,121.4,6.8,-3.7,10.9,-3.5,-9.7,6.9
2014-12-01,USA,161.7,116.7,138.6,133.9,101,132.6,23.7,8.4,14.1,22.4,8.8,12.5
2015-01-01,USA,137.9,98.4,140.1,131.9,95.3,138.4,16.5,2.9,13.2,-1.1,-14.5,15.7
2015-02-01,USA,140.6,102.5,137.1,118.7,88.4,134.2,14.3,1.9,12.1,0.6,-10.1,11.9
2015-03-01,USA,159.4,115.3,138.2,157.7,116.4,135.5,21.3,5.8,14.6,24.2,10.3,12.6
2015-04-01,USA,157.5,114.9,137.1,145.2,105.8,137.2,21.3,7.1,13.3,24,4.6,18.5
2015-05-01,USA,125.6,91.1,137.9,138.6,105.7,131.1,7.4,-6.7,15.1,11.5,1.6,9.8
2015-06-01,USA,150.7,102.4,147.1,146.9,109.4,134.3,17.6,-3,21.3,14.9,3.6,10.9
2015-07-01,USA,155.1,106.9,145.1,140.9,106.1,132.8,18.8,-0.2,19.1,7.5,1.5,6
2015-08-01,USA,131.4,90.9,144.5,136.7,106.7,128.1,11.1,-7.7,20.4,5.6,6.9,-1.2
2015-09-01,USA,147.9,102,145,125.4,97.9,128.1,10.4,-4.7,15.9,0.1,-0.8,0.9
2015-10-01,USA,156,107.9,144.5,138.9,103,134.9,6.3,-5.8,12.9,1.4,-6.8,8.8
2015-11-01,USA,142.6,97.9,145.7,134.7,104.1,129.4,2,-8.1,11,6.2,-0.4,6.5
2015-12-01,USA,156.3,107,146.2,120.4,92.5,130.1,-3.3,-8.3,5.5,-10.1,-8.4,-1.9
2016-01-01,USA,130.6,90.2,144.8,118.8,91.8,129.3,-5.3,-8.4,3.4,-10,-3.7,-6.6
2016-02-01,USA,140.9,99.3,142,124.8,97,128.6,0.2,-3.2,3.5,5.1,9.7,-4.1
2016-03-01,USA,151.2,108.3,139.7,126.2,100,126.2,-5.1,-6.1,1,-20,-14.1,-6.9
2016-04-01,USA,138.9,101.9,136.3,118.9,95.6,124.4,-11.8,-11.3,-0.6,-18.1,-9.6,-9.4
2016-05-01,USA,112.2,85.5,131.3,126.8,105.6,120,-10.7,-6.2,-4.7,-8.5,-0.1,-8.4
2016-06-01,USA,140.9,105.4,133.7,121.8,102.8,118.4,-6.5,2.9,-9.1,-17.1,-6,-11.8
2009-01-01,EU,82.2,72.8,112.9,102.1,98.8,103.3,-47.4,-42,-9.4,-23.4,-15.3,-9.6
2009-02-01,EU,77.4,74.9,103.4,81.1,73.1,111,-54.7,-45.6,-16.7,-29.7,-27.4,-3.1
2009-03-01,EU,81.3,76.6,106.1,96.8,92.9,104.2,-56.1,-49.6,-12.8,-32.8,-27.5,-7.2
2009-04-01,EU,87.5,76.4,114.6,86.7,80,108.3,-45.3,-42.8,-4.4,-31,-29.7,-2
2009-05-01,EU,82.6,72.9,113.3,90.8,80.8,112.4,-45.4,-40.2,-8.7,-28.7,-28.7,-0.1
2009-06-01,EU,88.3,77.3,114.2,97.2,86.4,112.6,-41.3,-36.1,-8.2,-25.9,-23.7,-2.9
2009-07-01,EU,88,78.3,112.4,93.9,86.2,109,-45.8,-36.4,-14.8,-30.9,-24.3,-8.7
2009-08-01,EU,81,75,108,96.9,93,104.2,-45.9,-39,-11.3,-24.1,-15.3,-10.4
2009-09-01,EU,94.8,87.4,108.4,96.6,91.1,106,-38.6,-31.7,-10.1,-23,-19.1,-4.9
2009-10-01,EU,105.2,96.2,109.4,94.1,88.1,106.8,-29,-26.7,-3.1,-21.8,-20.4,-1.7
2009-11-01,EU,94,85.1,110.4,101.2,100.1,101.1,-16,-18.5,3.1,-7.9,-4.2,-3.9
2009-12-01,EU,101.1,92.7,109,100,96.8,103.3,1.4,-1.5,2.9,-6.3,-2.3,-4.1
2010-01-01,EU,91.4,84.7,107.9,100.7,91,110.6,11.2,16.4,-4.5,-1.4,-7.9,7.1
2010-02-01,EU,92.6,88.5,104.6,87.1,81.8,106.6,19.7,18.3,1.2,7.4,11.9,-4
2010-03-01,EU,103,101.3,101.7,110.1,108.4,101.6,26.7,32.3,-4.2,13.8,16.6,-2.5
2010-04-01,EU,104.9,101.7,103.2,91.7,90.9,100.9,19.9,33.1,-9.9,5.8,13.6,-6.9
2010-05-01,EU,97,95.3,101.8,100.9,102.4,98.5,17.4,30.8,-10.2,11,26.8,-12.4
2010-06-01,EU,96.3,98.7,97.6,107.4,110.3,97.4,9,27.6,-14.6,10.4,27.7,-13.5
2010-07-01,EU,99.7,102.8,97,103,107.2,96.1,13.3,31.3,-13.7,9.7,24.4,-11.8
2010-08-01,EU,92.1,94.9,97.1,103.6,109.5,94.6,13.7,26.5,-10.1,6.9,17.7,-9.2
2010-09-01,EU,105.3,110.5,95.3,100.7,102.2,98.4,11.2,26.4,-12.1,4.1,12.2,-7.2
2010-10-01,EU,103.3,105,98.3,96,95.4,100.6,-1.9,9.2,-10.1,2,8.2,-5.8
2010-11-01,EU,103.5,105.3,98.3,99.2,102.7,96.6,10.1,23.7,-11,-2,2.6,-4.4
2010-12-01,EU,110.8,112.6,98.5,99.7,100.1,99.6,9.7,21.4,-9.7,-0.3,3.5,-3.6
2011-01-01,EU,90.7,91.8,98.8,106.3,104.5,101.7,-0.7,8.4,-8.4,5.6,14.9,-8.1
2011-02-01,EU,104.4,106.1,98.4,96.3,93.7,102.7,12.7,19.8,-5.9,10.5,14.6,-3.6
2011-03-01,EU,107.3,106.1,101.1,108.4,106.9,101.4,4.2,4.8,-0.5,-1.5,-1.3,-0.2
2011-04-01,EU,93.7,91.3,102.6,112.5,110.8,101.6,-10.7,-10.2,-0.6,22.7,21.9,0.7
2011-05-01,EU,88.4,84.3,104.9,110.4,108.8,101.5,-8.8,-11.6,3.1,9.4,6.2,3
2011-06-01,EU,104,99.8,104.2,111.6,105.8,105.5,8,1.1,6.8,4,-4,8.3
2011-07-01,EU,105.7,102.5,103.1,111.3,107.6,103.5,6,-0.3,6.4,8,0.3,7.6
2011-08-01,EU,97.7,96.8,100.8,115.9,112.3,103.2,6,2.1,3.8,11.8,2.6,9
2011-09-01,EU,112.8,113.7,99.2,112.2,113.7,98.7,7.1,2.9,4,11.5,11.2,0.2
2011-10-01,EU,100.3,103.2,97.2,110.6,109.9,100.6,-2.9,-1.8,-1.1,15.3,15.3,0
2011-11-01,EU,98.7,98.1,100.7,123.6,125.9,98.1,-4.6,-6.8,2.4,24.6,22.7,1.6
2011-12-01,EU,96.8,98.3,98.5,103.1,104.9,98.3,-12.7,-12.7,0,3.4,4.7,-1.3
2012-01-01,EU,83.9,86.3,97.2,109.5,110,99.5,-7.6,-6.1,-1.6,3,5.2,-2.1
2012-02-01,EU,93.2,94.5,98.7,104.3,103.7,100.6,-10.7,-11,0.2,8.3,10.6,-2.1
2012-03-01,EU,96.9,94.3,102.7,119.2,117,101.9,-9.7,-11.1,1.6,10,9.4,0.5
2012-04-01,EU,91.8,88.7,103.5,108,109,99.1,-2,-2.9,0.9,-4,-1.6,-2.5
2012-05-01,EU,87.7,88,99.6,117.3,117.8,99.6,-0.8,4.4,-5,6.3,8.3,-1.9
2012-06-01,EU,81.8,82.7,98.9,108,114.7,94.1,-21.3,-17.1,-5.1,-3.3,8.4,-10.8
2012-07-01,EU,79.3,81.5,97.4,123.2,125,98.5,-25,-20.5,-5.6,10.7,16.2,-4.8
2012-08-01,EU,75.3,79.1,95.2,118.2,122.9,96.2,-22.9,-18.3,-5.6,2,9.4,-6.8
2012-09-01,EU,88.9,90.8,98,105.6,110.5,95.6,-21.2,-20.2,-1.2,-5.9,-2.9,-3.1
2012-10-01,EU,80.2,80,100.2,119,116.6,102.1,-20.1,-22.4,3.1,7.6,6,1.5
2012-11-01,EU,79.1,78.6,100.5,129.4,129.7,99.8,-19.9,-19.8,-0.1,4.7,3,1.7
2012-12-01,EU,86.1,82,105,107.8,105.8,101.9,-11.1,-16.6,6.6,4.6,0.9,3.6
2013-01-01,EU,80.1,73.5,108.9,119.8,116.3,103,-4.5,-14.7,12,9.4,5.7,3.5
2013-02-01,EU,84.3,73,115.5,115.5,107.5,107.4,-9.6,-22.8,17.1,10.7,3.7,6.7
