Date,Long:CANADIAN DOLLAR,Short:CANADIAN DOLLAR,Net:CANADIAN DOLLAR
2015-03-31,18771,48389,-29618
2015-04-07,22081,52100,-30019
2015-04-14,23020,53598,-30578
2015-04-21,33343,60394,-27051
2015-04-28,33858,54767,-20909
2015-05-05,30028,40108,-10080
2015-05-12,29133,33115,-3982
2015-05-19,25184,20836,4348
2015-05-26,30695,23362,7333
2015-06-02,30095,31120,-1025
2015-06-09,21004,34749,-13745
2015-06-16,22484,34765,-12281
2015-06-23,18270,35849,-17579
2015-06-30,23105,46555,-23450
2015-07-07,35928,68196,-32268
2015-07-14,38177,78903,-40726
2015-07-21,41443,85011,-43568
2015-07-28,35195,91262,-56067
2015-08-04,33993,98173,-64180
2015-08-11,28546,95951,-67405
2015-08-18,21407,88201,-66794
2015-08-25,29555,89267,-59712
2015-09-01,28964,84083,-55119
2015-09-08,29506,78146,-48640
2015-09-15,28509,75592,-47083
2015-09-22,40901,79295,-38394
2015-09-29,36211,78446,-42235
2015-10-06,29276,64286,-35010
2015-10-13,28207,62156,-33949
2015-10-20,31368,58480,-27112
2015-10-27,34134,53029,-18895
2015-11-03,32017,51508,-19491
2015-11-10,45787,63694,-17907
2015-11-17,45589,73941,-28352
2015-11-24,41304,79921,-38617
