Date,マネタリーベース平均残高／うち 日本銀行券発行高(兆円)
1997-06-01,42.8755
1997-07-01,44.1886
1997-08-01,43.8881
1997-09-01,43.2129
1997-10-01,43.4851
1997-11-01,44.6042
1997-12-01,50.1416
1998-01-01,49.0014
1998-02-01,46.8963
1998-03-01,47.6192
1998-04-01,47.4856
1998-05-01,47.4813
1998-06-01,46.9275
1998-07-01,48.4505
1998-08-01,48.0263
1998-09-01,47.4499
1998-10-01,47.886
1998-11-01,48.2978
1998-12-01,52.0932
1999-01-01,50.8729
1999-02-01,49.208
1999-03-01,50.0589
1999-04-01,50.1942
1999-05-01,50.4889
1999-06-01,49.736
1999-07-01,51.3684
1999-08-01,50.8981
1999-09-01,50.371
1999-10-01,50.7916
1999-11-01,51.1897
1999-12-01,57.3635
2000-01-01,56.6194
2000-02-01,52.8835
2000-03-01,54.0866
2000-04-01,55.4012
2000-05-01,54.4058
2000-06-01,53.0318
2000-07-01,54.2879
2000-08-01,53.7489
2000-09-01,53.716
2000-10-01,54.8034
2000-11-01,55.5209
2000-12-01,59.5613
2001-01-01,58.9233
2001-02-01,56.3757
2001-03-01,57.0388
2001-04-01,57.5153
2001-05-01,57.704
2001-06-01,57.7253
2001-07-01,59.5119
2001-08-01,58.5255
2001-09-01,58.3735
2001-10-01,59.013
2001-11-01,59.9689
2001-12-01,64.3769
2002-01-01,64.811
2002-02-01,63.3389
2002-03-01,65.3759
2002-04-01,66.8155
2002-05-01,66.8968
2002-06-01,66.1411
2002-07-01,66.8793
2002-08-01,66.6929
2002-09-01,66.2761
2002-10-01,66.4395
2002-11-01,67.0184
2002-12-01,70.8145
2003-01-01,70.8834
2003-02-01,68.617
2003-03-01,69.5076
2003-04-01,69.8211
2003-05-01,70.0112
2003-06-01,69.6116
2003-07-01,70.4165
2003-08-01,70.1656
2003-09-01,69.6304
2003-10-01,69.5638
2003-11-01,69.9673
2003-12-01,73.1283
2004-01-01,72.7139
2004-02-01,70.4728
2004-03-01,70.7069
2004-04-01,70.9062
2004-05-01,71.2335
2004-06-01,70.2819
2004-07-01,71.1698
2004-08-01,71.0146
2004-09-01,71.1848
2004-10-01,71.0096
2004-11-01,72.4627
2004-12-01,74.8668
2005-01-01,74.6097
2005-02-01,72.2207
2005-03-01,73.3042
2005-04-01,74.0715
2005-05-01,74.0809
2005-06-01,72.7636
2005-07-01,73.6087
2005-08-01,73.2365
2005-09-01,73.0651
2005-10-01,73.0566
2005-11-01,73.2589
2005-12-01,76.3121
2006-01-01,76.004
2006-02-01,73.8828
2006-03-01,74.3874
2006-04-01,74.3547
2006-05-01,74.5519
2006-06-01,73.4456
2006-07-01,74.0971
2006-08-01,74.0449
2006-09-01,73.7148
2006-10-01,73.7348
2006-11-01,73.9249
2006-12-01,76.6969
2007-01-01,76.5125
2007-02-01,74.8201
2007-03-01,75.3603
2007-04-01,75.3051
2007-05-01,75.3971
2007-06-01,74.6596
2007-07-01,75.2954
2007-08-01,74.9744
2007-09-01,74.7946
2007-10-01,74.9865
2007-11-01,75.158
2007-12-01,78.0036
2008-01-01,77.6902
2008-02-01,75.6569
2008-03-01,75.9282
2008-04-01,75.7564
2008-05-01,75.9585
2008-06-01,75.1914
2008-07-01,75.715
2008-08-01,75.6144
2008-09-01,75.1178
2008-10-01,75.6037
2008-11-01,75.9854
2008-12-01,78.4262
2009-01-01,77.9825
2009-02-01,76.188
2009-03-01,76.5414
2009-04-01,76.4847
2009-05-01,76.8223
2009-06-01,75.8829
2009-07-01,76.2666
2009-08-01,75.9799
2009-09-01,75.8706
2009-10-01,75.6165
2009-11-01,75.7397
2009-12-01,78.1778
2010-01-01,77.8306
2010-02-01,76.2861
2010-03-01,76.8243
2010-04-01,77.1365
2010-05-01,77.249
2010-06-01,76.4129
2010-07-01,77.0592
2010-08-01,76.8583
2010-09-01,76.6008
2010-10-01,76.7644
2010-11-01,77.0922
2010-12-01,79.7052
2011-01-01,79.4111
2011-02-01,78.13
2011-03-01,79.6912
2011-04-01,79.9807
2011-05-01,79.4811
2011-06-01,78.5057
2011-07-01,79.124
2011-08-01,78.9717
2011-09-01,78.8044
2011-10-01,78.722
2011-11-01,78.9721
2011-12-01,81.572
2012-01-01,81.2462
2012-02-01,79.871
2012-03-01,80.446
2012-04-01,80.6725
2012-05-01,80.745
2012-06-01,80.2079
2012-07-01,80.9465
2012-08-01,80.8736
2012-09-01,80.6118
2012-10-01,80.7704
2012-11-01,81.0887
2012-12-01,83.8665
2013-01-01,83.8266
2013-02-01,82.343
2013-03-01,82.8371
2013-04-01,83.1109
2013-05-01,83.2813
2013-06-01,82.8305
2013-07-01,83.4873
2013-08-01,83.5572
2013-09-01,83.3865
2013-10-01,83.5418
2013-11-01,83.9935
2013-12-01,87.0015
2014-01-01,87.1198
2014-02-01,85.4749
2014-03-01,86.1177
2014-04-01,86.0389
2014-05-01,86.1273
2014-06-01,85.6484
2014-07-01,86.3217
2014-08-01,86.4799
2014-09-01,86.296
2014-10-01,86.5271
2014-11-01,87.099
2014-12-01,90.1074
2015-01-01,90.1357
2015-02-01,88.6755
2015-03-01,89.252
2015-04-01,89.5381
2015-05-01,89.9665
2015-06-01,89.6714
2015-07-01,90.6796
2015-08-01,91.0354
2015-09-01,91.398
