Date,貿易収支／輸入(兆円)
2009-10-01,3.9486
2009-11-01,4.1411
2009-12-01,4.4263
2010-01-01,4.3705
2010-02-01,4.0134
2010-03-01,4.5433
2010-04-01,4.6308
2010-05-01,4.5437
2010-06-01,4.6994
2010-07-01,4.6811
2010-08-01,4.6473
2010-09-01,4.5292
2010-10-01,4.4213
2010-11-01,4.8056
2010-12-01,4.9899
2011-01-01,5.0656
2011-02-01,4.5567
2011-03-01,5.3137
2011-04-01,5.2068
2011-05-01,5.2379
2011-06-01,5.3005
2011-07-01,5.3055
2011-08-01,5.6926
2011-09-01,5.2195
2011-10-01,5.3811
2011-11-01,5.5006
2011-12-01,5.5149
2012-01-01,5.6507
2012-02-01,5.0852
2012-03-01,5.9581
2012-04-01,5.7738
2012-05-01,5.7934
2012-06-01,5.2461
2012-07-01,5.4108
2012-08-01,5.406
2012-09-01,5.4817
2012-10-01,5.302
2012-11-01,5.5611
2012-12-01,5.5598
2013-01-01,6.0334
2013-02-01,5.676
2013-03-01,6.2057
2013-04-01,6.3387
2013-05-01,6.4227
2013-06-01,5.8407
2013-07-01,6.5739
2013-08-01,6.3381
2013-09-01,6.5085
2013-10-01,6.8275
2013-11-01,6.8099
2013-12-01,7.0272
2014-01-01,7.8971
2014-02-01,6.5084
2014-03-01,7.6769
2014-04-01,6.7733
2014-05-01,6.4138
2014-06-01,6.6591
2014-07-01,7.1162
2014-08-01,6.5053
2014-09-01,7.1903
2014-10-01,7.3395
2014-11-01,6.9558
2014-12-01,7.4676
2015-01-01,7.1854
2015-02-01,6.108
2015-03-01,6.4701
2015-04-01,6.3813
2015-05-01,5.7731
2015-06-01,6.3534
2015-07-01,6.6529
2015-08-01,6.1841
