Date,Uranium、 NUEXCO、 Restricted Price、 Nuexco exchange spot、 US＄ per pound
2014-12-01,36.95
2015-01-01,36.13
2015-02-01,38.15
2015-03-01,39.41
2015-04-01,38.66
2015-05-01,35.59
2015-06-01,36.14
2015-07-01,36.04
2015-08-01,36.13
2015-09-01,36.9
