Date,Olive Oil、 extra virgin less than 1% free fatty acid、 ex-tanker price U.K.、 US＄ per metric ton
2010-05-01,3011.23
2010-06-01,2925.8
2010-07-01,2934.73
2010-08-01,3087.55
2010-09-01,3068.01
2010-10-01,3093.28
2010-11-01,3081.94
2010-12-01,3003.96
2011-01-01,2989.8
2011-02-01,3054.1
2011-03-01,3098.5
2011-04-01,3226.28
2011-05-01,3164.79
2011-06-01,3097.34
2011-07-01,3072
2011-08-01,3118.7
2011-09-01,3013.48
2011-10-01,3013
2011-11-01,3031.8
2011-12-01,2964.26
2012-01-01,2874.33
2012-02-01,2911.4
2012-03-01,2899.44
2012-04-01,2921.46
2012-05-01,2874.62
2012-06-01,2780.67
2012-07-01,2817.79
2012-08-01,3080.96
2012-09-01,3728.48
2012-10-01,3753.78
2012-11-01,3574.67
2012-12-01,3410.62
2013-01-01,3964.52
2013-02-01,4085.53
2013-03-01,3964.59
2013-04-01,3928.94
2013-05-01,3778.84
2013-06-01,3823.82
2013-07-01,3762.89
2013-08-01,3736.36
2013-09-01,3785.08
2013-10-01,3676.27
2013-11-01,3680.05
2013-12-01,3613.35
2014-01-01,3628.5
2014-02-01,3576.2
2014-03-01,3592.27
2014-04-01,3602.34
2014-05-01,3631.68
2014-06-01,3756.42
2014-07-01,4014.96
2014-08-01,4142.29
2014-09-01,4209.05
2014-10-01,4025.37
2014-11-01,4281.95
2014-12-01,4480.05
2015-01-01,4480.81
2015-02-01,4692.23
2015-03-01,4531.82
2015-04-01,4605.58
2015-05-01,4967.3
2015-06-01,5022.97
2015-07-01,5289.66
2015-08-01,5886.21
2015-09-01,5673.2
