Date,非労働力人口 男女計 季節調整値
1975-05-01,3075
1975-06-01,3085
1975-07-01,3085
1975-08-01,3090
1975-09-01,3103
1975-10-01,3123
1975-11-01,3119
1975-12-01,3096
1976-01-01,3104
1976-02-01,3108
1976-03-01,3102
1976-04-01,3133
1976-05-01,3162
1976-06-01,3171
1976-07-01,3144
1976-08-01,3134
1976-09-01,3145
1976-10-01,3157
1976-11-01,3158
1976-12-01,3151
1977-01-01,3148
1977-02-01,3157
1977-03-01,3159
1977-04-01,3138
1977-05-01,3158
1977-06-01,3160
1977-07-01,3146
1977-08-01,3160
1977-09-01,3160
1977-10-01,3183
1977-11-01,3164
1977-12-01,3152
1978-01-01,3173
1978-02-01,3156
1978-03-01,3161
1978-04-01,3171
1978-05-01,3134
1978-06-01,3133
1978-07-01,3186
1978-08-01,3194
1978-09-01,3180
1978-10-01,3179
1978-11-01,3179
1978-12-01,3180
1979-01-01,3168
1979-02-01,3194
1979-03-01,3213
1979-04-01,3205
1979-05-01,3189
1979-06-01,3195
1979-07-01,3187
1979-08-01,3182
1979-09-01,3214
1979-10-01,3196
1979-11-01,3212
1979-12-01,3233
1980-01-01,3243
1980-02-01,3243
1980-03-01,3243
1980-04-01,3245
1980-05-01,3268
1980-06-01,3244
1980-07-01,3228
1980-08-01,3236
1980-09-01,3236
1980-10-01,3260
1980-11-01,3267
1980-12-01,3272
1981-01-01,3267
1981-02-01,3269
1981-03-01,3272
1981-04-01,3259
1981-05-01,3288
1981-06-01,3284
1981-07-01,3282
1981-08-01,3284
1981-09-01,3287
1981-10-01,3291
1981-11-01,3281
1981-12-01,3278
1982-01-01,3295
1982-02-01,3295
1982-03-01,3285
1982-04-01,3300
1982-05-01,3295
1982-06-01,3324
1982-07-01,3338
1982-08-01,3338
1982-09-01,3335
1982-10-01,3318
1982-11-01,3311
1982-12-01,3277
1983-01-01,3271
1983-02-01,3283
1983-03-01,3288
1983-04-01,3296
1983-05-01,3282
1983-06-01,3298
1983-07-01,3311
1983-08-01,3310
1983-09-01,3318
1983-10-01,3318
1983-11-01,3329
1983-12-01,3354
1984-01-01,3374
1984-02-01,3365
1984-03-01,3362
1984-04-01,3367
1984-05-01,3377
1984-06-01,3360
1984-07-01,3375
1984-08-01,3379
1984-09-01,3360
1984-10-01,3368
1984-11-01,3383
1984-12-01,3400
1985-01-01,3403
1985-02-01,3407
1985-03-01,3425
1985-04-01,3432
1985-05-01,3444
1985-06-01,3461
1985-07-01,3455
1985-08-01,3460
1985-09-01,3455
1985-10-01,3466
1985-11-01,3482
1985-12-01,3513
1986-01-01,3475
1986-02-01,3487
1986-03-01,3499
1986-04-01,3495
1986-05-01,3511
1986-06-01,3512
1986-07-01,3500
1986-08-01,3514
1986-09-01,3532
1986-10-01,3537
1986-11-01,3544
1986-12-01,3547
1987-01-01,3560
1987-02-01,3571
1987-03-01,3574
1987-04-01,3579
1987-05-01,3577
1987-06-01,3579
1987-07-01,3607
1987-08-01,3588
1987-09-01,3590
1987-10-01,3599
1987-11-01,3596
1987-12-01,3591
1988-01-01,3602
1988-02-01,3621
1988-03-01,3621
1988-04-01,3623
1988-05-01,3629
1988-06-01,3638
1988-07-01,3626
1988-08-01,3628
1988-09-01,3653
1988-10-01,3659
1988-11-01,3662
1988-12-01,3651
1989-01-01,3662
1989-02-01,3654
1989-03-01,3658
1989-04-01,3648
1989-05-01,3646
1989-06-01,3643
1989-07-01,3639
1989-08-01,3653
1989-09-01,3674
1989-10-01,3664
1989-11-01,3657
1989-12-01,3661
1990-01-01,3664
1990-02-01,3656
1990-03-01,3647
1990-04-01,3655
1990-05-01,3657
1990-06-01,3664
1990-07-01,3651
1990-08-01,3675
1990-09-01,3646
1990-10-01,3648
1990-11-01,3661
1990-12-01,3668
1991-01-01,3645
1991-02-01,3656
1991-03-01,3644
1991-04-01,3658
1991-05-01,3655
1991-06-01,3636
1991-07-01,3652
1991-08-01,3646
1991-09-01,3641
1991-10-01,3666
1991-11-01,3655
1991-12-01,3639
1992-01-01,3656
1992-02-01,3636
1992-03-01,3666
1992-04-01,3679
1992-05-01,3679
1992-06-01,3695
1992-07-01,3712
1992-08-01,3692
1992-09-01,3697
1992-10-01,3682
1992-11-01,3674
1992-12-01,3687
1993-01-01,3720
1993-02-01,3735
1993-03-01,3740
1993-04-01,3740
1993-05-01,3737
1993-06-01,3744
1993-07-01,3742
1993-08-01,3747
1993-09-01,3756
1993-10-01,3737
1993-11-01,3736
1993-12-01,3744
1994-01-01,3756
1994-02-01,3767
1994-03-01,3775
1994-04-01,3759
1994-05-01,3762
1994-06-01,3790
1994-07-01,3801
1994-08-01,3795
1994-09-01,3817
1994-10-01,3816
1994-11-01,3817
1994-12-01,3828
1995-01-01,3824
1995-02-01,3820
1995-03-01,3819
1995-04-01,3828
1995-05-01,3846
1995-06-01,3838
1995-07-01,3829
1995-08-01,3836
1995-09-01,3813
1995-10-01,3849
1995-11-01,3861
1995-12-01,3861
1996-01-01,3859
1996-02-01,3869
1996-03-01,3852
1996-04-01,3846
1996-05-01,3868
1996-06-01,3844
1996-07-01,3826
1996-08-01,3845
1996-09-01,3834
1996-10-01,3845
1996-11-01,3859
1996-12-01,3859
1997-01-01,3861
1997-02-01,3837
1997-03-01,3850
1997-04-01,3862
1997-05-01,3850
1997-06-01,3839
1997-07-01,3844
1997-08-01,3871
1997-09-01,3879
1997-10-01,3872
1997-11-01,3900
1997-12-01,3884
1998-01-01,3876
1998-02-01,3905
1998-03-01,3903
1998-04-01,3913
1998-05-01,3899
1998-06-01,3911
1998-07-01,3935
1998-08-01,3926
1998-09-01,3952
1998-10-01,3952
1998-11-01,3959
1998-12-01,3962
1999-01-01,3964
1999-02-01,3979
1999-03-01,3975
1999-04-01,3971
1999-05-01,3973
1999-06-01,3992
1999-07-01,4003
1999-08-01,3987
1999-09-01,3983
1999-10-01,4006
1999-11-01,4013
1999-12-01,4024
2000-01-01,4028
2000-02-01,4050
2000-03-01,4064
2000-04-01,4051
2000-05-01,4058
2000-06-01,4069
2000-07-01,4068
2000-08-01,4074
2000-09-01,4062
2000-10-01,4045
2000-11-01,4043
2000-12-01,4070
2001-01-01,4072
2001-02-01,4059
2001-03-01,4094
2001-04-01,4112
2001-05-01,4118
2001-06-01,4135
2001-07-01,4138
2001-08-01,4144
2001-09-01,4164
2001-10-01,4168
2001-11-01,4139
2001-12-01,4162
2002-01-01,4192
2002-02-01,4188
2002-03-01,4188
2002-04-01,4216
2002-05-01,4244
2002-06-01,4243
2002-07-01,4240
2002-08-01,4232
2002-09-01,4246
2002-10-01,4249
2002-11-01,4252
2002-12-01,4256
2003-01-01,4265
2003-02-01,4276
2003-03-01,4250
2003-04-01,4269
2003-05-01,4275
2003-06-01,4250
2003-07-01,4282
2003-08-01,4311
2003-09-01,4307
2003-10-01,4316
2003-11-01,4314
2003-12-01,4299
2004-01-01,4320
2004-02-01,4316
2004-03-01,4321
2004-04-01,4325
2004-05-01,4343
2004-06-01,4345
2004-07-01,4325
2004-08-01,4310
2004-09-01,4339
2004-10-01,4353
2004-11-01,4369
2004-12-01,4355
2005-01-01,4331
2005-02-01,4353
2005-03-01,4367
2005-04-01,4348
2005-05-01,4329
2005-06-01,4352
2005-07-01,4334
2005-08-01,4351
2005-09-01,4323
2005-10-01,4326
2005-11-01,4360
2005-12-01,4367
2006-01-01,4345
2006-02-01,4353
2006-03-01,4372
2006-04-01,4381
2006-05-01,4366
2006-06-01,4359
2006-07-01,4362
2006-08-01,4353
2006-09-01,4347
2006-10-01,4335
2006-11-01,4352
2006-12-01,4366
2007-01-01,4395
2007-02-01,4368
2007-03-01,4355
2007-04-01,4362
2007-05-01,4364
2007-06-01,4366
2007-07-01,4380
2007-08-01,4389
2007-09-01,4394
2007-10-01,4381
2007-11-01,4365
2007-12-01,4374
2008-01-01,4394
2008-02-01,4406
2008-03-01,4403
2008-04-01,4386
2008-05-01,4384
2008-06-01,4390
2008-07-01,4415
2008-08-01,4411
2008-09-01,4433
2008-10-01,4436
2008-11-01,4410
2008-12-01,4407
2009-01-01,4410
2009-02-01,4413
2009-03-01,4437
2009-04-01,4434
2009-05-01,4443
2009-06-01,4460
2009-07-01,4452
2009-08-01,4435
2009-09-01,4443
2009-10-01,4471
2009-11-01,4473
2009-12-01,4473
2010-01-01,4455
2010-02-01,4477
2010-03-01,4459
2010-04-01,4474
2010-05-01,4482
2010-06-01,4481
2010-07-01,4472
2010-08-01,4474
2010-09-01,4451
2010-10-01,4466
2010-11-01,4493
2010-12-01,4487
2011-01-01,4477
2011-02-01,4481
2011-03-01,4514
2011-04-01,4521
2011-05-01,4530
2011-06-01,4524
2011-07-01,4523
2011-08-01,4530
2011-09-01,4537
2011-10-01,4532
2011-11-01,4519
2011-12-01,4512
2012-01-01,4536
2012-02-01,4526
2012-03-01,4543
2012-04-01,4540
2012-05-01,4547
2012-06-01,4535
2012-07-01,4537
2012-08-01,4546
2012-09-01,4547
2012-10-01,4532
2012-11-01,4540
2012-12-01,4556
2013-01-01,4516
2013-02-01,4507
2013-03-01,4519
2013-04-01,4509
2013-05-01,4513
2013-06-01,4524
2013-07-01,4523
2013-08-01,4508
2013-09-01,4504
2013-10-01,4488
2013-11-01,4470
2013-12-01,4495
2014-01-01,4511
2014-02-01,4505
2014-03-01,4493
2014-04-01,4507
2014-05-01,4488
2014-06-01,4477
2014-07-01,4478
2014-08-01,4486
2014-09-01,4478
2014-10-01,4485
2014-11-01,4494
2014-12-01,4467
2015-01-01,4463
2015-02-01,4467
2015-03-01,4484
2015-04-01,4519
2015-05-01,4497
2015-06-01,4462
2015-07-01,4470
2015-08-01,4469
2015-09-01,4443
