Date,Weekly U.S. Ending Stocks excluding SPR of Crude Oil  (Thousand Barrels)
1996-04-19,297181
1996-04-26,296811
1996-05-03,304004
1996-05-10,302302
1996-05-17,297850
1996-05-24,298978
1996-05-31,310915
1996-06-07,308884
1996-06-14,305874
1996-06-21,306730
1996-06-28,313583
1996-07-05,315440
1996-07-12,312913
1996-07-19,309075
1996-07-26,310190
1996-08-02,307429
1996-08-09,306268
1996-08-16,308148
1996-08-23,317849
1996-08-30,312784
1996-09-06,309345
1996-09-13,307358
1996-09-20,308534
1996-09-27,303421
1996-10-04,303152
1996-10-11,299851
1996-10-18,305592
1996-10-25,302533
1996-11-01,312569
1996-11-08,307439
1996-11-15,304974
1996-11-22,300178
1996-11-29,300405
1996-12-06,299649
1996-12-13,296702
1996-12-20,290599
1996-12-27,293041
1997-01-03,284518
1997-01-10,289570
1997-01-17,288105
1997-01-24,291477
1997-01-31,297512
1997-02-07,300960
1997-02-14,305445
1997-02-21,305281
1997-02-28,299858
1997-03-07,305088
1997-03-14,305198
1997-03-21,304110
1997-03-28,310456
1997-04-04,310297
1997-04-11,312921
1997-04-18,314371
1997-04-25,317197
1997-05-02,317291
1997-05-09,323686
1997-05-16,318251
1997-05-23,321465
1997-05-30,325667
1997-06-06,325265
1997-06-13,324009
1997-06-20,323546
1997-06-27,317819
1997-07-04,322816
1997-07-11,320357
1997-07-18,318372
1997-07-25,308482
1997-08-01,307768
1997-08-08,312906
1997-08-15,313530
1997-08-22,308276
1997-08-29,306674
1997-09-05,300592
1997-09-12,304386
1997-09-19,300503
1997-09-26,301821
1997-10-03,306449
1997-10-10,304277
1997-10-17,300979
1997-10-24,305584
1997-10-31,311603
1997-11-07,310423
1997-11-14,315709
1997-11-21,319483
1997-11-28,322303
1997-12-05,317501
1997-12-12,320041
1997-12-19,316072
1997-12-26,312820
1998-01-02,306418
1998-01-09,305339
1998-01-16,316551
1998-01-23,322237
1998-01-30,321615
1998-02-06,321607
1998-02-13,323309
1998-02-20,326192
1998-02-27,324593
1998-03-06,323672
1998-03-13,321615
1998-03-20,328084
1998-03-27,329678
1998-04-03,331245
1998-04-10,336575
1998-04-17,341582
1998-04-24,341885
1998-05-01,344085
1998-05-08,343422
1998-05-15,354645
1998-05-22,351399
1998-05-29,347111
1998-06-05,345962
1998-06-12,343264
1998-06-19,341610
1998-06-26,343271
1998-07-03,340381
1998-07-10,333749
1998-07-17,339290
1998-07-24,343119
1998-07-31,343802
1998-08-07,344765
1998-08-14,344229
1998-08-21,337354
1998-08-28,337036
1998-09-04,328082
1998-09-11,325700
1998-09-18,316361
1998-09-25,319458
1998-10-02,322168
1998-10-09,328957
1998-10-16,332502
1998-10-23,336239
1998-10-30,340014
1998-11-06,339189
1998-11-13,336654
1998-11-20,341811
1998-11-27,336243
1998-12-04,334809
1998-12-11,338228
1998-12-18,339708
1998-12-25,337050
1999-01-01,321828
1999-01-08,324368
1999-01-15,327075
1999-01-22,330248
1999-01-29,332830
1999-02-05,333400
1999-02-12,331662
1999-02-19,334700
1999-02-26,331543
1999-03-05,334363
1999-03-12,338026
1999-03-19,340833
1999-03-26,344636
1999-04-02,342890
1999-04-09,345007
1999-04-16,341851
1999-04-23,338408
1999-04-30,336267
1999-05-07,333869
1999-05-14,334422
1999-05-21,332099
1999-05-28,331052
1999-06-04,333008
1999-06-11,334822
1999-06-18,332099
1999-06-25,330375
1999-07-02,330143
1999-07-09,333831
1999-07-16,334205
1999-07-23,329029
1999-07-30,325629
1999-08-06,323394
1999-08-13,321761
1999-08-20,317236
1999-08-27,317798
1999-09-03,313255
1999-09-10,308973
1999-09-17,309162
1999-09-24,304905
1999-10-01,304535
1999-10-08,297326
1999-10-15,300749
1999-10-22,301018
1999-10-29,304739
1999-11-05,305137
1999-11-12,306937
1999-11-19,303874
1999-11-26,299520
1999-12-03,298769
1999-12-10,293183
1999-12-17,292352
1999-12-24,292051
1999-12-31,290332
2000-01-07,293416
2000-01-14,293331
2000-01-21,290899
2000-01-28,282481
2000-02-04,286025
2000-02-11,285839
2000-02-18,285530
2000-02-25,285859
2000-03-03,290491
2000-03-10,290922
2000-03-17,292561
2000-03-24,292411
2000-03-31,293913
2000-04-07,296797
2000-04-14,302291
2000-04-21,307361
2000-04-28,304097
2000-05-05,308587
2000-05-12,308837
2000-05-19,309786
2000-05-26,305185
2000-06-02,301196
2000-06-09,299760
2000-06-16,295199
2000-06-23,295526
2000-06-30,293732
2000-07-07,294874
2000-07-14,294389
2000-07-21,294663
2000-07-28,284110
2000-08-04,285447
2000-08-11,288847
2000-08-18,284689
2000-08-25,286736
2000-09-01,289471
2000-09-08,288544
2000-09-15,286062
2000-09-22,285561
2000-09-29,286653
2000-10-06,287730
2000-10-13,283213
2000-10-20,285618
2000-10-27,284129
2000-11-03,282510
2000-11-10,284007
2000-11-17,290171
2000-11-24,290093
2000-12-01,292090
2000-12-08,288721
2000-12-15,291754
2000-12-22,290503
2000-12-29,288666
2001-01-05,288315
2001-01-12,287305
2001-01-19,286195
2001-01-26,282625
2001-02-02,285621
2001-02-09,288985
2001-02-16,277105
2001-02-23,279984
2001-03-02,277315
2001-03-09,285286
2001-03-16,290288
2001-03-23,301476
2001-03-30,303161
2001-04-06,307081
2001-04-13,313292
2001-04-20,311867
2001-04-27,318192
2001-05-04,318753
2001-05-11,321229
2001-05-18,324571
2001-05-25,322829
2001-06-01,324436
2001-06-08,316232
2001-06-15,315504
2001-06-22,315496
2001-06-29,310743
2001-07-06,307753
2001-07-13,314774
2001-07-20,316154
2001-07-27,315104
2001-08-03,308607
2001-08-10,305757
2001-08-17,301754
2001-08-24,304451
2001-08-31,302497
2001-09-07,303302
2001-09-14,302676
2001-09-21,305862
2001-09-28,307474
2001-10-05,307424
2001-10-12,302984
2001-10-19,305807
2001-10-26,308263
2001-11-02,311935
2001-11-09,311668
2001-11-16,310448
2001-11-23,307268
2001-11-30,311523
2001-12-07,309114
2001-12-14,309475
2001-12-21,312088
2001-12-28,309918
2002-01-04,311055
2002-01-11,312083
2002-01-18,314832
2002-01-25,316938
2002-02-01,319310
2002-02-08,321811
2002-02-15,318703
2002-02-22,316235
2002-03-01,320549
2002-03-08,320882
2002-03-15,323490
2002-03-22,319046
2002-03-29,325071
2002-04-05,325027
2002-04-12,319362
2002-04-19,320948
2002-04-26,325520
2002-05-03,319966
2002-05-10,315779
2002-05-17,320409
2002-05-24,318873
2002-05-31,324905
2002-06-07,323525
2002-06-14,323042
2002-06-21,319603
2002-06-28,321176
2002-07-05,316961
2002-07-12,314981
2002-07-19,311299
2002-07-26,309322
2002-08-02,307177
2002-08-09,299972
2002-08-16,302825
2002-08-23,303089
2002-08-30,298461
2002-09-06,293174
2002-09-13,287770
2002-09-20,285178
2002-09-27,275196
2002-10-04,270472
2002-10-11,279447
2002-10-18,286224
2002-10-25,287138
2002-11-01,290533
2002-11-08,283643
2002-11-15,288098
2002-11-22,284199
2002-11-29,287275
2002-12-06,288722
2002-12-13,286661
2002-12-20,287376
2002-12-27,278250
2003-01-03,278689
2003-01-10,272260
2003-01-17,273845
2003-01-24,273337
2003-01-31,274281
2003-02-07,269841
2003-02-14,272899
2003-02-21,271865
2003-02-28,273562
2003-03-07,269757
2003-03-14,270229
2003-03-21,273934
2003-03-28,280667
2003-04-04,277107
2003-04-11,277239
2003-04-18,286210
2003-04-25,288032
2003-05-02,287200
2003-05-09,284477
2003-05-16,285141
2003-05-23,286168
2003-05-30,289032
2003-06-06,284365
2003-06-13,288349
2003-06-20,284204
2003-06-27,282088
2003-07-04,282224
2003-07-11,278594
2003-07-18,276255
2003-07-25,277349
2003-08-01,280218
2003-08-08,280398
2003-08-15,278812
2003-08-22,278628
2003-08-29,280389
2003-09-05,276164
2003-09-12,279313
2003-09-19,280803
2003-09-26,280756
2003-10-03,286169
2003-10-10,289966
2003-10-17,288171
2003-10-24,291811
2003-10-31,291860
2003-11-07,291085
2003-11-14,293995
2003-11-21,289106
2003-11-28,284277
2003-12-05,277932
2003-12-12,272808
2003-12-19,274453
2003-12-26,270676
2004-01-02,268954
2004-01-09,263970
2004-01-16,265182
2004-01-23,263666
2004-01-30,271588
2004-02-06,268882
2004-02-13,273782
2004-02-20,273782
2004-02-27,275782
2004-03-05,279509
2004-03-12,281089
2004-03-19,288621
2004-03-26,294319
2004-04-02,292226
2004-04-09,295374
2004-04-16,295582
2004-04-23,298761
2004-04-30,298856
2004-05-07,299955
2004-05-14,298859
2004-05-21,298884
2004-05-28,301663
2004-06-04,302089
2004-06-11,302941
2004-06-18,305356
2004-06-25,304852
2004-07-02,305027
2004-07-09,302855
2004-07-16,299282
2004-07-23,300454
2004-07-30,298639
2004-08-06,294260
2004-08-13,293049
2004-08-20,291349
2004-08-27,287117
2004-09-03,285658
2004-09-10,278646
2004-09-17,269534
2004-09-24,272935
2004-10-01,274033
2004-10-08,278236
2004-10-15,279434
2004-10-22,283378
2004-10-29,289650
2004-11-05,291511
2004-11-12,292326
2004-11-19,292411
2004-11-26,293260
2004-12-03,293917
2004-12-10,293791
2004-12-17,295915
2004-12-24,295056
2004-12-31,291837
2005-01-07,288807
2005-01-14,292208
2005-01-21,295637
2005-01-28,295313
2005-02-04,294287
2005-02-11,296429
2005-02-18,297037
2005-02-25,299432
2005-03-04,302629
2005-03-11,305222
2005-03-18,309319
2005-03-25,314702
2005-04-01,317062
2005-04-08,320716
2005-04-15,318943
2005-04-22,324358
2005-04-29,327038
2005-05-06,329704
2005-05-13,334047
2005-05-20,332360
2005-05-27,333848
2005-06-03,330754
2005-06-10,328971
2005-06-17,327392
2005-06-24,328496
2005-07-01,324883
2005-07-08,320984
2005-07-15,320084
2005-07-22,317839
2005-07-29,318035
2005-08-05,320832
2005-08-12,321073
2005-08-19,322925
2005-08-26,321405
2005-09-02,314952
2005-09-09,308392
2005-09-16,308070
2005-09-23,305658
2005-09-30,305412
2005-10-07,306429
2005-10-14,311984
2005-10-21,316398
2005-10-28,319132
2005-11-04,323556
2005-11-11,321397
2005-11-18,321751
2005-11-25,317563
2005-12-02,320283
2005-12-09,321175
2005-12-16,322475
2005-12-23,322593
2005-12-30,321580
2006-01-06,318693
2006-01-13,321434
2006-01-20,319125
2006-01-27,321044
2006-02-03,320726
2006-02-10,325579
2006-02-17,326700
2006-02-24,328338
2006-03-03,335101
2006-03-10,339937
2006-03-17,338627
2006-03-24,340657
2006-03-31,342767
2006-04-07,345997
2006-04-14,345191
2006-04-21,344965
2006-04-28,346692
2006-05-05,346964
2006-05-12,346899
2006-05-19,343901
2006-05-26,345500
2006-06-02,346646
2006-06-09,345666
2006-06-16,347051
2006-06-23,343722
2006-06-30,341301
2006-07-07,335316
2006-07-14,335467
2006-07-21,335497
2006-07-28,333723
2006-08-04,332609
2006-08-11,331002
2006-08-18,330359
2006-08-25,332840
2006-09-01,330628
2006-09-08,327724
2006-09-15,324876
2006-09-22,324767
2006-09-29,328122
2006-10-06,330530
2006-10-13,335550
2006-10-20,332345
2006-10-27,334255
2006-11-03,334690
2006-11-10,335973
2006-11-17,341134
2006-11-24,340774
2006-12-01,339725
2006-12-08,335430
2006-12-15,329107
2006-12-22,320975
2006-12-29,319676
2007-01-05,314686
2007-01-12,321454
2007-01-19,322243
2007-01-26,324927
2007-02-02,324478
2007-02-09,323889
2007-02-16,327583
2007-02-23,329004
2007-03-02,324156
2007-03-09,325336
2007-03-16,329260
2007-03-23,328414
2007-03-30,332721
2007-04-06,333399
2007-04-13,332405
2007-04-20,334479
2007-04-27,335648
2007-05-04,341159
2007-05-11,342220
2007-05-18,344189
2007-05-25,342233
2007-06-01,342345
2007-06-08,342427
2007-06-15,349329
2007-06-22,350891
2007-06-29,354042
2007-07-06,352580
2007-07-13,352131
2007-07-20,351028
2007-07-27,344531
2007-08-03,340395
2007-08-10,335228
2007-08-17,337118
2007-08-24,333632
2007-08-31,329660
2007-09-07,322649
2007-09-14,318775
2007-09-21,320617
2007-09-28,321755
2007-10-05,320081
2007-10-12,321865
2007-10-19,316577
2007-10-26,312683
2007-11-02,311862
2007-11-09,314676
2007-11-16,313605
2007-11-23,313153
2007-11-30,305240
2007-12-07,304518
2007-12-14,296932
2007-12-21,293633
2007-12-28,289577
2008-01-04,282841
2008-01-11,287100
2008-01-18,289397
2008-01-25,292952
2008-02-01,300004
2008-02-08,301070
2008-02-15,305274
2008-02-22,308505
2008-02-29,305449
2008-03-07,311626
2008-03-14,311759
2008-03-21,311847
2008-03-28,319164
2008-04-04,316016
2008-04-11,313660
2008-04-18,316081
2008-04-25,319929
2008-05-02,325583
2008-05-09,325759
2008-05-16,320442
2008-05-23,311559
2008-05-30,306757
2008-06-06,302197
2008-06-13,300955
2008-06-20,301758
2008-06-27,299776
2008-07-04,293936
2008-07-11,296888
2008-07-18,295330
2008-07-25,295249
2008-08-01,296863
2008-08-08,296547
2008-08-15,305937
2008-08-22,305760
2008-08-29,303862
2008-09-05,298034
2008-09-12,291706
2008-09-19,290186
2008-09-26,294464
2008-10-03,302587
2008-10-10,308198
2008-10-17,311380
2008-10-24,311873
2008-10-31,311927
2008-11-07,311949
2008-11-14,313548
2008-11-21,320828
2008-11-28,320372
2008-12-05,320764
2008-12-12,321289
2008-12-19,318188
2008-12-26,318737
2009-01-02,325419
2009-01-09,326563
2009-01-16,332663
2009-01-23,338881
2009-01-30,346051
2009-02-06,350768
2009-02-13,350630
2009-02-20,351347
2009-02-27,350590
2009-03-06,351339
2009-03-13,353281
2009-03-20,356583
2009-03-27,359427
2009-04-03,361072
2009-04-10,366743
2009-04-17,370600
2009-04-24,374653
2009-05-01,375258
2009-05-08,370629
2009-05-15,368524
2009-05-22,363111
