Date,Weekly Cushing、 OK Ending Stocks excluding SPR of Crude Oil  (Thousand Barrels)
2006-06-09,22527
2006-06-16,23642
2006-06-23,24127
2006-06-30,24920
2006-07-07,25003
2006-07-14,24529
2006-07-21,25361
2006-07-28,25591
2006-08-04,24796
2006-08-11,25069
2006-08-18,24527
2006-08-25,24321
2006-09-01,25076
2006-09-08,23550
2006-09-15,22258
2006-09-22,22264
2006-09-29,22564
2006-10-06,22746
2006-10-13,22277
2006-10-20,21989
2006-10-27,23226
2006-11-03,23557
2006-11-10,23742
2006-11-17,24859
2006-11-24,24248
2006-12-01,26792
2006-12-08,26562
2006-12-15,25913
2006-12-22,25073
2006-12-29,26057
2007-01-05,25461
2007-01-12,24295
2007-01-19,23758
2007-01-26,22482
2007-02-02,21500
2007-02-09,21234
2007-02-16,22999
2007-02-23,22065
2007-03-02,21728
2007-03-09,22311
2007-03-16,24071
2007-03-23,23859
2007-03-30,26739
2007-04-06,26986
2007-04-13,28015
2007-04-20,26838
2007-04-27,27114
2007-05-04,27722
2007-05-11,26458
2007-05-18,27357
2007-05-25,26727
2007-06-01,26157
2007-06-08,26026
2007-06-15,25542
2007-06-22,24085
2007-06-29,23695
2007-07-06,22813
2007-07-13,22621
2007-07-20,21239
2007-07-27,20747
2007-08-03,19268
2007-08-10,18436
2007-08-17,18702
2007-08-24,18677
2007-08-31,20531
2007-09-07,20017
2007-09-14,18337
2007-09-21,18128
2007-09-28,18393
2007-10-05,18592
2007-10-12,18417
2007-10-19,18160
2007-10-26,15050
2007-11-02,13410
2007-11-09,13421
2007-11-16,14564
2007-11-23,15229
2007-11-30,15900
2007-12-07,17315
2007-12-14,17430
2007-12-21,17496
2007-12-28,17501
2008-01-04,17735
2008-01-11,16521
2008-01-18,15653
2008-01-25,15755
2008-02-01,16455
2008-02-08,17156
2008-02-15,16678
2008-02-22,16918
2008-02-29,16094
2008-03-07,18877
2008-03-14,17481
2008-03-21,17192
2008-03-28,17456
2008-04-04,17523
2008-04-11,18383
2008-04-18,19149
2008-04-25,19297
2008-05-02,20212
2008-05-09,20412
2008-05-16,20587
2008-05-23,21333
2008-05-30,21777
2008-06-06,21251
2008-06-13,20638
2008-06-20,20697
2008-06-27,20870
2008-07-04,20425
2008-07-11,19885
2008-07-18,19521
2008-07-25,18800
2008-08-01,18707
2008-08-08,18468
2008-08-15,18006
2008-08-22,17289
2008-08-29,18094
2008-09-05,17653
2008-09-12,16054
2008-09-19,15253
2008-09-26,14495
2008-10-03,14383
2008-10-10,14926
2008-10-17,15388
2008-10-24,15729
2008-10-31,17544
2008-11-07,17985
2008-11-14,18921
2008-11-21,20509
2008-11-28,22854
2008-12-05,22774
2008-12-12,27511
2008-12-19,28684
2008-12-26,28143
2009-01-02,32182
2009-01-09,32980
2009-01-16,33197
2009-01-23,33503
2009-01-30,34335
2009-02-06,34916
2009-02-13,34864
2009-02-20,34506
2009-02-27,33953
2009-03-06,33552
2009-03-13,33920
2009-03-20,31709
2009-03-27,30853
2009-04-03,29975
2009-04-10,29233
2009-04-17,29542
2009-04-24,29763
2009-05-01,29819
2009-05-08,28826
2009-05-15,29620
2009-05-22,30684
2009-05-29,29918
2009-06-05,28976
2009-06-12,28971
2009-06-19,28238
2009-06-26,28601
2009-07-03,30184
2009-07-10,30803
2009-07-17,30811
2009-07-24,32121
2009-07-31,33325
2009-08-07,33606
2009-08-14,33264
2009-08-21,31801
2009-08-28,31212
2009-09-04,31269
2009-09-11,27591
2009-09-18,28072
2009-09-25,26530
2009-10-02,25124
2009-10-09,25541
2009-10-16,26004
2009-10-23,25519
2009-10-30,25549
2009-11-06,26969
2009-11-13,28319
2009-11-20,29515
2009-11-27,30889
2009-12-04,33353
2009-12-11,34135
2009-12-18,34706
2009-12-25,34512
2010-01-01,35670
2010-01-08,34473
2010-01-15,33725
2010-01-22,33034
2010-01-29,31997
2010-02-05,31322
2010-02-12,30612
2010-02-19,29902
2010-02-26,29969
2010-03-05,30600
2010-03-12,29919
2010-03-19,30453
2010-03-26,30936
2010-04-02,31164
2010-04-09,32257
2010-04-16,34111
2010-04-23,34565
2010-04-30,36244
2010-05-07,37028
2010-05-14,37945
2010-05-21,37621
2010-05-28,37889
2010-06-04,37416
2010-06-11,37610
2010-06-18,36784
2010-06-25,35989
2010-07-02,35805
2010-07-09,36119
2010-07-16,37104
2010-07-23,37170
2010-07-30,37836
2010-08-06,37722
2010-08-13,37035
2010-08-20,36256
2010-08-27,35753
2010-09-03,35535
2010-09-10,34954
2010-09-17,34744
2010-09-24,34345
2010-10-01,35094
2010-10-08,35061
2010-10-15,34010
2010-10-22,33659
2010-10-29,33545
2010-11-05,31799
2010-11-12,33065
2010-11-19,33625
2010-11-26,34535
2010-12-03,34929
2010-12-10,35911
2010-12-17,36390
2010-12-24,36635
2010-12-31,37493
2011-01-07,37376
2011-01-14,36805
2011-01-21,37667
2011-01-28,38334
2011-02-04,37407
2011-02-11,37657
2011-02-18,37440
2011-02-25,38570
2011-03-04,40263
2011-03-11,40020
2011-03-18,40197
2011-03-25,41886
2011-04-01,41870
2011-04-08,41896
2011-04-15,41126
2011-04-22,40388
2011-04-29,40490
2011-05-06,41614
2011-05-13,40023
2011-05-20,40079
2011-05-27,39920
2011-06-03,38904
2011-06-10,37763
2011-06-17,38036
2011-06-24,37494
2011-07-01,37034
2011-07-08,37649
2011-07-15,36672
2011-07-22,37102
2011-07-29,35953
2011-08-05,34581
2011-08-12,33688
2011-08-19,33662
2011-08-26,33085
2011-09-02,32689
2011-09-09,32229
2011-09-16,31998
2011-09-23,30920
2011-09-30,30089
2011-10-07,30621
2011-10-14,31092
2011-10-21,31511
2011-10-28,32071
2011-11-04,31139
2011-11-11,32029
2011-11-18,32016
2011-11-25,31301
2011-12-02,31105
2011-12-09,31188
2011-12-16,30198
2011-12-23,29909
2011-12-30,29296
2012-01-06,29105
2012-01-13,28273
2012-01-20,28647
2012-01-27,30123
2012-02-03,30490
2012-02-10,32480
2012-02-17,32165
2012-02-24,33813
2012-03-02,36178
2012-03-09,38697
2012-03-16,38521
2012-03-23,39564
2012-03-30,40293
2012-04-06,40585
2012-04-13,41177
2012-04-20,41751
2012-04-27,42964
2012-05-04,44127
2012-05-11,45127
2012-05-18,46795
2012-05-25,46849
2012-06-01,47775
2012-06-08,47395
2012-06-15,47755
2012-06-22,47416
2012-06-29,47641
2012-07-06,46782
2012-07-13,46282
2012-07-20,46485
2012-07-27,45100
2012-08-03,44298
2012-08-10,45197
2012-08-17,45242
2012-08-24,44821
2012-08-31,44915
2012-09-07,44087
2012-09-14,43813
2012-09-21,43730
2012-09-28,43865
2012-10-05,44165
2012-10-12,44025
2012-10-19,44065
2012-10-26,43394
2012-11-02,42966
2012-11-09,43681
2012-11-16,45150
2012-11-23,45857
2012-11-30,45631
2012-12-07,46818
2012-12-14,46963
2012-12-21,49177
2012-12-28,49750
2013-01-04,50082
2013-01-11,51862
2013-01-18,51391
2013-01-25,51675
2013-02-01,51360
2013-02-08,50242
2013-02-15,50659
2013-02-22,50584
2013-03-01,50841
2013-03-08,49315
2013-03-15,49029
2013-03-22,49468
2013-03-29,49181
2013-04-05,50070
2013-04-12,51148
2013-04-19,51183
2013-04-26,49801
2013-05-03,49149
2013-05-10,49724
2013-05-17,50173
2013-05-24,50508
2013-05-31,50024
2013-06-07,49265
2013-06-14,48596
2013-06-21,49260
2013-06-28,49652
2013-07-05,46965
2013-07-12,46083
2013-07-19,44023
2013-07-26,42119
2013-08-02,39874
2013-08-09,38515
2013-08-16,37425
2013-08-23,36588
2013-08-30,34759
2013-09-06,34120
2013-09-13,33259
2013-09-20,32847
2013-09-27,32788
2013-10-04,32620
2013-10-11,32986
2013-10-18,33344
2013-10-25,35522
2013-11-01,36513
2013-11-08,38204
2013-11-15,39940
2013-11-22,40616
2013-11-29,40598
2013-12-06,41223
2013-12-13,40623
2013-12-20,40177
2013-12-27,39625
2014-01-03,40725
2014-01-10,40870
2014-01-17,41592
2014-01-24,41829
2014-01-31,40276
2014-02-07,37603
2014-02-14,35870
2014-02-21,34792
2014-02-28,32132
2014-03-07,30791
2014-03-14,29802
2014-03-21,28477
2014-03-28,27254
2014-04-04,27599
2014-04-11,26828
2014-04-18,26040
2014-04-25,25428
2014-05-02,24033
2014-05-09,23441
2014-05-16,23216
2014-05-23,21691
2014-05-30,21370
2014-06-06,21172
2014-06-13,21419
2014-06-20,21835
2014-06-27,20476
2014-07-04,20923
2014-07-11,20273
2014-07-18,18823
2014-07-25,17899
2014-08-01,17982
2014-08-08,18400
2014-08-15,20155
2014-08-22,20663
2014-08-29,20278
2014-09-05,20356
2014-09-12,19999
2014-09-19,20190
2014-09-26,20505
2014-10-03,18929
2014-10-10,19645
2014-10-17,20598
2014-10-24,21374
2014-10-31,20823
2014-11-07,22527
2014-11-14,23245
2014-11-21,24579
2014-11-28,23885
2014-12-05,24905
2014-12-12,27825
2014-12-19,28798
2014-12-26,30793
2015-01-02,32098
2015-01-09,33874
2015-01-16,36783
2015-01-23,38868
2015-01-30,41384
2015-02-06,42598
2015-02-13,46261
2015-02-20,48680
2015-02-27,49216
2015-03-06,51538
2015-03-13,54403
2015-03-20,56314
2015-03-27,58943
2015-04-03,60175
2015-04-10,61462
2015-04-17,62200
2015-04-24,61686
2015-05-01,61674
2015-05-08,60684
2015-05-15,60443
2015-05-22,60010
2015-05-29,59027
2015-06-05,58003
2015-06-12,58115
2015-06-19,56245
2015-06-26,56368
2015-07-03,56667
2015-07-10,57105
2015-07-17,57918
2015-07-24,57706
2015-07-31,57164
2015-08-07,57113
2015-08-14,57439
2015-08-21,57695
2015-08-28,57307
2015-09-04,56410
2015-09-11,54504
2015-09-18,54042
2015-09-25,52974
2015-10-02,53072
2015-10-09,54197
