Date,Weekly U.S. Net Imports of Crude Oil  (Thousand Barrels per Day)
2010-03-05,8459
2010-03-12,8395
2010-03-19,9364
2010-03-26,9027
2010-04-02,9528
2010-04-09,8847
2010-04-16,9579
2010-04-23,9647
2010-04-30,9917
2010-05-07,9653
2010-05-14,9795
2010-05-21,9894
2010-05-28,9421
2010-06-04,9501
2010-06-11,9665
2010-06-18,10079
2010-06-25,9448
2010-07-02,9380
2010-07-09,9248
2010-07-16,9944
2010-07-23,11120
2010-07-30,9596
2010-08-06,9408
2010-08-13,9529
2010-08-20,9849
2010-08-27,9647
2010-09-03,8853
2010-09-10,8994
2010-09-17,9289
2010-09-24,8972
2010-10-01,8893
2010-10-08,8095
2010-10-15,8567
2010-10-22,9430
2010-10-29,8545
2010-11-05,8056
2010-11-12,7830
2010-11-19,8990
2010-11-26,8412
2010-12-03,9019
2010-12-10,7657
2010-12-17,8708
2010-12-24,8780
2010-12-31,8413
2011-01-07,8862
2011-01-14,8966
2011-01-21,9352
2011-01-28,8981
2011-02-04,8876
2011-02-11,8233
2011-02-18,8073
2011-02-25,7977
2011-03-04,8267
2011-03-11,8647
2011-03-18,8953
2011-03-25,9094
2011-04-01,8916
2011-04-08,8537
2011-04-15,8019
2011-04-22,9232
2011-04-29,8843
2011-05-06,8930
2011-05-13,8536
2011-05-20,9198
2011-05-27,9484
2011-06-03,8566
2011-06-10,8603
2011-06-17,9114
2011-06-24,8843
2011-07-01,9819
2011-07-08,8965
2011-07-15,9308
2011-07-22,9805
2011-07-29,9099
2011-08-05,9065
2011-08-12,9250
2011-08-19,8773
2011-08-26,9572
2011-09-02,8530
2011-09-09,8507
2011-09-16,8315
2011-09-23,9666
2011-09-30,8664
2011-10-07,9050
2011-10-14,7885
2011-10-21,9337
2011-10-28,8918
2011-11-04,8582
2011-11-11,8529
2011-11-18,8283
2011-11-25,9025
2011-12-02,9400
2011-12-09,8286
2011-12-16,7545
2011-12-23,8954
2011-12-30,8988
2012-01-06,9871
2012-01-13,8228
2012-01-20,8816
2012-01-27,8843
2012-02-03,8376
2012-02-10,8719
2012-02-17,9054
2012-02-24,9150
2012-03-02,8675
2012-03-09,8679
2012-03-16,8186
2012-03-23,9231
2012-03-30,9736
2012-04-06,8484
2012-04-13,8679
2012-04-20,8727
2012-04-27,8783
2012-05-04,8928
2012-05-11,8842
2012-05-18,8544
2012-05-25,9017
2012-06-01,8918
2012-06-08,9078
2012-06-15,9406
2012-06-22,9079
2012-06-29,8735
2012-07-06,8587
2012-07-13,8898
2012-07-20,9593
2012-07-27,8366
2012-08-03,8587
2012-08-10,8677
2012-08-17,8167
2012-08-24,9455
2012-08-31,7995
2012-09-07,8525
2012-09-14,9807
2012-09-21,7554
2012-09-28,8065
2012-10-05,8180
2012-10-12,8306
2012-10-19,8782
2012-10-26,7881
2012-11-02,7970
2012-11-09,7828
2012-11-16,7726
2012-11-23,8076
2012-11-30,8188
2012-12-07,8457
2012-12-14,8356
2012-12-21,7982
2012-12-28,7051
2013-01-04,8299
2013-01-11,7987
2013-01-18,7686
2013-01-25,8024
2013-02-01,7525
2013-02-08,7469
2013-02-15,7645
2013-02-22,7914
2013-03-01,7264
2013-03-08,7491
2013-03-15,7272
2013-03-22,8113
2013-03-29,7886
